,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,santa rosa,0,AR,1569160386,27,-36.62,-64.29,64.77,14.67
1,faanui,0,PF,1569160387,81,-16.48,-151.75,80.25,19.15
2,northam,67,AU,1569160387,76,-31.65,116.67,53.6,8.05
3,kapaa,75,US,1569160713,83,22.08,-159.32,78.8,3.36
4,ponta do sol,12,BR,1569160387,36,-20.63,-46.0,89.61,4.72
5,bambous virieux,75,MU,1569160387,83,-20.34,57.76,71.6,13.87
6,ushuaia,75,AR,1569160714,69,-54.81,-68.31,39.2,5.82
7,hobart,40,AU,1569160229,61,-42.88,147.33,46.4,6.93
8,banyo,7,CM,1569160387,73,6.75,11.81,74.49,4.88
9,kloulklubed,40,PW,1569160714,83,7.04,134.26,80.6,12.28
10,tasiilaq,100,GL,1569160714,75,65.61,-37.64,44.6,29.97
11,pingliang,4,CN,1569160714,76,35.54,106.68,48.57,3.94
12,vaini,40,IN,1569160714,88,15.34,74.49,78.8,9.17
13,east london,20,ZA,1569160569,87,-33.02,27.91,57.2,13.87
14,the valley,40,AI,1569160439,74,18.22,-63.06,88.0,16.11
15,hermanus,0,ZA,1569160714,61,-34.42,19.24,62.01,10.0
16,toropets,32,RU,1569160715,73,56.5,31.64,42.09,7.7
17,kongsberg,20,NO,1569160715,77,59.67,9.65,69.01,5.82
18,kudahuvadhoo,100,MV,1569160715,90,2.67,72.89,78.63,18.7
19,dikson,100,RU,1569160563,94,73.51,80.55,39.03,20.18
20,bambari,80,CF,1569160715,70,5.77,20.68,85.47,1.52
21,te anau,99,NZ,1569160715,84,-45.41,167.72,45.87,9.8
22,yayva,44,RU,1569160715,76,59.33,57.26,35.01,1.88
23,husavik,69,CA,1569160715,98,50.56,-96.99,55.99,9.71
24,mount gambier,65,AU,1569160716,93,-37.83,140.78,44.6,11.41
25,dingle,100,PH,1569160716,93,11.0,122.67,75.39,3.02
26,hilo,1,US,1569160716,83,19.71,-155.08,75.2,2.17
27,hualmay,100,PE,1569160716,90,-11.1,-77.61,60.63,9.31
28,cabo san lucas,75,MX,1569160540,88,22.89,-109.91,82.99,11.41
29,mataura,100,NZ,1569160716,62,-46.19,168.86,55.99,11.01
30,gola bazar,75,IN,1569160716,100,26.34,83.35,80.6,1.12
31,georgetown,75,GY,1569160642,79,6.8,-58.16,86.0,13.87
32,florence,1,US,1569160645,64,34.8,-87.68,77.0,5.82
33,nchelenge,0,ZM,1569160716,38,-9.35,28.74,84.39,8.75
34,makakilo city,75,US,1569160717,78,21.35,-158.09,80.6,3.53
35,rikitea,100,PF,1569160717,85,-23.12,-134.97,70.35,16.62
36,arraial do cabo,75,BR,1569160675,88,-22.97,-42.02,75.2,9.17
37,baruun-urt,19,MN,1569160717,56,46.68,113.28,55.77,2.75
38,katobu,86,ID,1569160717,90,-4.94,122.53,71.97,5.21
39,albany,1,US,1569160695,88,42.65,-73.75,71.01,4.32
40,breznita-motru,0,RO,1569160717,20,44.57,23.22,77.0,3.36
41,punta arenas,75,CL,1569160717,70,-53.16,-70.91,42.8,23.04
42,brae,0,GB,1569160717,93,60.4,-1.35,53.6,26.4
43,cape town,40,ZA,1569160718,51,-33.93,18.42,64.0,19.46
44,qaanaaq,0,GL,1569160718,52,77.48,-69.36,24.27,5.61
45,mar del plata,55,AR,1569160700,33,-46.43,-67.52,52.35,20.2
46,busselton,100,AU,1569160718,59,-33.64,115.35,48.99,13.31
47,minab,0,IR,1569160813,31,27.15,57.07,100.4,6.93
48,chifeng,0,CN,1569160813,39,42.27,118.96,53.07,4.47
49,mayumba,18,GA,1569160814,86,-3.44,10.65,76.47,13.11
50,tecoanapa,75,MX,1569160814,83,16.99,-99.26,80.6,3.36
51,castro,0,CL,1569160814,87,-42.48,-73.76,42.8,5.82
52,bulgan,5,MN,1569160814,87,48.81,103.53,50.19,2.3
53,tygda,67,RU,1569160814,95,53.11,126.33,51.45,6.08
54,butembo,77,CD,1569160814,90,0.12,29.29,72.15,1.25
55,nome,75,US,1569160819,88,30.04,-94.42,82.0,3.36
56,upernavik,64,GL,1569160821,75,72.79,-56.15,35.61,6.64
57,katsuura,75,JP,1569160821,88,33.93,134.5,81.0,40.26
58,padang,44,ID,1569160582,85,-0.92,100.36,79.35,15.7
59,bathsheba,40,BB,1569160823,69,13.22,-59.52,82.4,21.92
60,tuatapere,100,NZ,1569160824,62,-46.13,167.69,55.99,10.0
